Step	Loss	GPU Memory (MB)	CPU Usage (%)	Step Time (s)
Total Training Samples: 6961
Unique Samples: 6769
4	7.7357	9804.17	13.10	0.5480
4	7.6394	9804.17	14.40	0.5481
4	7.6904	9804.17	15.30	0.5479
4	6.6769	9804.17	15.70	0.5476
4	7.2465	9804.17	16.40	0.5477
4	7.0453	9804.17	16.60	0.5478
4	7.0647	9804.17	18.00	0.5479
4	7.3964	9804.17	16.30	0.5473
4	7.2116	9804.17	17.20	0.5493
4	7.2580	9804.17	14.50	0.5477
4	8.0357	9804.17	15.50	0.5478
4	7.4742	9804.17	15.40	0.5481
4	6.7571	9804.17	14.80	0.5479
4	7.4352	9804.17	16.30	0.5476
4	7.3904	9804.17	16.40	0.5481
4	7.0820	9804.17	15.60	0.5475
4	7.1683	9804.17	15.60	0.5504
4	7.0286	9804.17	14.70	0.5479
4	7.6904	9804.17	16.70	0.5483
4	7.3825	9804.17	15.90	0.5475
4	7.2563	9804.17	15.60	0.5478
4	6.9762	9804.17	14.80	0.5474
4	6.8487	9804.17	16.00	0.5475
4	7.3637	9804.17	16.00	0.5474
4	7.8539	9804.17	14.90	0.5482
4	7.5139	9804.17	15.30	0.5483
4	7.1732	9804.17	16.50	0.5476
4	7.5215	9804.17	15.10	0.5478
4	6.9517	9804.17	13.40	0.5477
4	7.2632	9804.17	14.40	0.5475
5	7.2314	9804.17	13.90	0.5441
5	7.3116	9804.17	16.00	0.5476
5	7.2148	9804.17	15.80	0.5491
5	7.8133	9804.17	15.30	0.5481
5	7.1765	9804.17	16.30	0.5478
5	7.1748	9804.17	15.40	0.5473
5	7.0302	9804.17	14.30	0.5477
5	7.1209	9804.17	14.30	0.5477
5	7.7468	9804.17	15.20	0.5480
5	7.6091	9804.17	15.70	0.5488
5	8.2728	9804.17	14.00	0.5473
5	8.3562	9804.17	13.40	0.5476
5	6.7070	9804.17	15.70	0.5492
5	7.8334	9804.17	14.10	0.5475
5	7.9156	9804.17	14.60	0.5512
5	6.9302	9804.17	13.40	0.5477
5	7.4425	9804.17	15.50	0.5489
5	7.1956	9804.17	17.20	0.5475
5	8.1200	9804.17	16.20	0.5476
5	7.9264	9804.17	15.20	0.5489
5	6.8888	9804.17	16.80	0.5484
5	6.7246	9804.17	17.10	0.5475
5	6.8206	9804.17	17.20	0.5475
5	7.6927	9804.17	17.40	0.5474
5	7.0557	9804.17	18.40	0.5479
5	7.2074	9804.17	16.30	0.5483
5	6.8915	9804.17	15.60	0.5478
5	8.0096	9804.17	13.70	0.5474
5	7.3033	9804.17	16.00	0.5497
5	7.3086	9804.17	16.60	0.5477
5	7.2177	9804.17	15.20	0.5480
5	7.0123	9804.17	14.80	0.5478
6	7.7265	9804.17	15.80	0.5436
6	7.0961	9804.17	16.40	0.5475
6	6.7844	9804.17	14.00	0.5476
6	6.7083	9804.17	12.50	0.5477
6	7.7920	9804.17	14.20	0.5472
6	8.2022	9804.17	17.50	0.5500
6	6.9584	9804.17	14.90	0.5485
6	7.3245	9804.17	15.30	0.5477
6	7.0474	9804.17	16.10	0.5479
6	8.1064	9804.17	18.10	0.5478
6	7.3784	9804.17	17.20	0.5479
6	7.6019	9804.17	15.50	0.5470
6	8.1821	9804.17	16.10	0.5475
6	7.0566	9804.17	15.70	0.5474
6	7.0665	9804.17	16.30	0.5476
6	6.8853	9804.17	15.90	0.5476
6	7.1671	9804.17	16.20	0.5475
6	7.0399	9804.17	16.80	0.5472
6	6.9350	9804.17	16.20	0.5478
6	7.5345	9804.17	14.60	0.5476
6	7.4970	9804.17	15.80	0.5484
6	7.6167	9804.17	14.70	0.5478
6	7.2561	9804.17	15.80	0.5478
6	8.0805	9804.17	15.50	0.5472
6	6.5593	9804.17	14.10	0.5476
6	7.2029	9804.17	15.90	0.5477
6	7.3872	9804.17	14.50	0.5472
6	7.3414	9804.17	14.50	0.5473
6	7.0926	9804.17	15.00	0.5477
6	7.4029	9804.17	16.00	0.5475
6	7.3963	9804.17	16.30	0.5472
6	7.7855	9804.17	16.60	0.5473
7	9.3846	9804.17	15.00	0.5447
7	8.3508	9804.17	16.60	0.5487
7	7.0829	9804.17	15.30	0.5489
7	7.5192	9804.17	15.90	0.5506
7	6.9433	9804.17	15.80	0.5476
7	7.1742	9804.17	17.80	0.5483
7	6.9339	9804.17	16.40	0.5476
7	8.1728	9804.17	15.60	0.5477
7	7.1368	9804.17	15.50	0.5475
7	6.9596	9804.17	15.70	0.5477
7	6.8336	9804.17	16.10	0.5482
7	8.4081	9804.17	16.00	0.5471
7	6.9912	9804.17	15.50	0.5477
7	7.3395	9804.17	12.80	0.5474
7	7.3331	9804.17	15.00	0.5478
7	7.7074	9804.17	14.40	0.5475
7	7.6628	9804.17	15.60	0.5479
7	7.7467	9804.17	15.30	0.5509
7	7.4540	9804.17	15.60	0.5467
7	7.1007	9804.17	15.10	0.5480
7	6.9135	9804.17	14.80	0.5473
7	7.0409	9804.17	15.10	0.5467
7	7.9429	9804.17	15.80	0.5471
7	7.1150	9804.17	16.10	0.5479
7	7.1959	9804.17	16.30	0.5470
7	8.0925	9804.17	15.30	0.5467
7	8.1049	9804.17	16.90	0.5469
7	7.2451	9804.17	17.80	0.5479
7	7.1965	9804.17	16.30	0.5486
7	7.3594	9804.17	13.50	0.5474
7	7.0983	9804.17	14.40	0.5473
7	7.7574	9804.17	15.80	0.5469
8	7.5897	9804.17	15.50	0.5473
8	7.0020	9804.17	16.70	0.5478
8	7.5160	9804.17	16.90	0.5475
